-00:00:01.5560000		Yoo Rose casts Ruin III on Ramuh
-00:00:00.9780000		Minju Rose casts Holy Spirit on Ramuh
-00:00:00.7120000		Aihyooni Yoomi casts Broil III on Ramuh
-00:00:00.4450000		Dengue Fever casts Glare on Ramuh
00:00:00		Minju Rose prepares Holy Spirit on Ramuh 9374
00:00:00.0440000		Dan Tam gains Hidden from Dan Tam
00:00:00.2220000		Dan Tam prepares Chi on Dan Tam 
00:00:00.2220000		Dan Tam gains Mudra from Dan Tam
00:00:00.2660000		Ifrit-Egi gains Summon Order IV from Ifrit-Egi
00:00:00.3110000		Ifrit-Egi prepares Devotion on Dan Tam 
00:00:00.3110000		Ifrit-Egi prepares Devotion on Run Escape 
00:00:00.3110000		Ifrit-Egi prepares Devotion on Aihyooni Yoomi 
00:00:00.3110000		Ifrit-Egi prepares Devotion on Minju Rose 
00:00:00.3110000		Ifrit-Egi prepares Devotion on Dengue Fever 
00:00:00.3110000		Ifrit-Egi prepares Devotion on Yoo Rose 
00:00:00.3110000		Ifrit-Egi prepares Devotion on Blue Fever 
00:00:00.3110000		Ifrit-Egi prepares Devotion on Yujin Ahn 
00:00:00.3550000		Yoo Rose prepares Ruin III on Ramuh 12540
00:00:00.7560000		The limit break guage has been updated to 0. 3 bars are available.
00:00:00.7560000		Minju Rose Holy Spirit Ramuh 9374
00:00:00.7560000		Dan Tam prepares Jin on Dan Tam 
00:00:00.7580000		Dan Tam gains Mudra from Dan Tam
00:00:00.8890000		Blue Fever prepares Raging Strikes on Blue Fever 
00:00:01.1110000		Dan Tam gains Devotion from Ifrit-Egi
00:00:01.1550000		Yoo Rose Ruin III Ramuh 12540
00:00:01.2450000		Run Escape gains Devotion from Ifrit-Egi
00:00:01.2450000		Ifrit-Egi gains Devotion from Ifrit-Egi
00:00:01.2450000		Aihyooni Yoomi prepares Broil III on Ramuh 17304
00:00:01.2890000		Ruby Carbuncle prepares Burning Strike on Ramuh 3861
00:00:01.2890000		Dan Tam prepares Suiton on Ramuh 23905
00:00:01.2890000		Dan Tam gains Suiton from Dan Tam
00:00:01.3330000		Yoo Rose prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:01.3780000		Aihyooni Yoomi gains Devotion from Ifrit-Egi
00:00:01.3780000		Eos gains Devotion from Ifrit-Egi
00:00:01.4220000		Blue Fever gains Raging Strikes from Blue Fever
00:00:01.5120000		Minju Rose gains Devotion from Ifrit-Egi
00:00:01.5120000		Dengue Fever prepares Glare on Ramuh 24822 (DIRECT HIT)
