-00:00:01.8170000		Run Escape casts Ruin III on Ramuh
-00:00:01.6840000		Dengue Fever casts Glare on Ramuh
-00:00:01.3290000		Yoo Rose casts Ruin III on Ramuh
-00:00:00.9750000		Minju Rose casts Holy Spirit on Ramuh
-00:00:00.3550000		Aihyooni Yoomi casts Broil III on Ramuh
00:00:00		Minju Rose prepares Holy Spirit on Ramuh 8871
00:00:00.1770000		Run Escape prepares Ruin III on Ramuh 16069 (DIRECT HIT)
00:00:00.2660000		Blue Fever prepares Raging Strikes on Blue Fever 
00:00:00.2660000		Dengue Fever prepares Glare on Ramuh 19771
00:00:00.5770000		Yoo Rose prepares Ruin III on Ramuh 16088 (DIRECT HIT)
00:00:00.5770000		Dan Tam prepares Suiton on Ramuh 28028 (DIRECT HIT)
00:00:00.5770000		Dan Tam gains Suiton from Dan Tam
00:00:00.7560000		The limit break guage has been updated to 0. 3 bars are available.
00:00:00.7560000		Minju Rose Holy Spirit Ramuh 8871
00:00:00.7980000		Blue Fever gains Raging Strikes from Blue Fever
00:00:00.8430000		The limit break guage has been updated to 170. 3 bars are available.
00:00:00.9760000		Run Escape Ruin III Ramuh 16069
00:00:01.1100000		Blue Fever prepares Stormbite on Ramuh 5296
00:00:01.1100000		Blue Fever prepares Shot on Ramuh 4276
00:00:01.1540000		Ruby Carbuncle prepares Burning Strike on Ramuh 3955
00:00:01.1980000		Yoo Rose prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:01.2430000		Dan Tam prepares Kassatsu on Dan Tam 
00:00:01.2430000		Run Escape prepares Aetherpact on Run Escape +239 (CRITICAL)
00:00:01.2430000		Dan Tam gains Kassatsu from Dan Tam
00:00:01.3320000		Ifrit-Egi prepares Burning Strike on Ramuh 6920 (CRITICAL)
00:00:01.3760000		Yoo Rose Ruin III Ramuh 16088
00:00:01.5540000		Dan Tam Suiton Ramuh 28028
00:00:01.5990000		Dengue Fever Glare Ramuh 19771
00:00:01.5990000		Dengue Fever prepares Dia on Ramuh 7948
00:00:01.5990000		Aihyooni Yoomi prepares Broil III on Ramuh 20102
00:00:01.7760000		Blue Fever prepares Bloodletter on Ramuh 7499
00:00:01.8200000		Ruby Carbuncle gains Well Fed from Yoo Rose
00:00:01.8200000		Ruby Carbuncle gains Summon Order from Ramuh
00:00:01.8650000		Blue Fever Shot Ramuh 4276
00:00:01.8650000		Ruby Carbuncle prepares Crimson Cyclone on Ramuh 12046
00:00:01.9100000		Ifrit-Egi gains Summon Order IV from Ifrit-Egi
00:00:01.9100000		Yoo Rose prepares Tri-Disaster on Ramuh 24242 (DIRECT HIT)
00:00:01.9100000		Ramuh gains Bio III from Yoo Rose
00:00:01.9100000		Ramuh gains Miasma III from Yoo Rose
00:00:01.9540000		Ruby Carbuncle Burning Strike Ramuh 3955
00:00:01.9540000		Ifrit-Egi prepares Devotion on Dan Tam 
00:00:01.9540000		Ifrit-Egi prepares Devotion on Yujin Ahn 
00:00:01.9540000		Ifrit-Egi prepares Devotion on Run Escape 
00:00:01.9540000		Ifrit-Egi prepares Devotion on Minju Rose 
00:00:01.9540000		Ifrit-Egi prepares Devotion on Aihyooni Yoomi 
00:00:01.9540000		Ifrit-Egi prepares Devotion on Yoo Rose 
00:00:01.9540000		Ifrit-Egi prepares Devotion on Blue Fever 
00:00:01.9540000		Ifrit-Egi prepares Devotion on Dengue Fever 
00:00:02.0430000		Dan Tam prepares Spinning Edge on Ramuh 15597 (CRITICAL)
00:00:02.0870000		Minju Rose prepares Attack on Ramuh 3791 (CRITICAL)
00:00:02.0880000		Yujin Ahn prepares Heavy Swing on Ramuh 5288
00:00:02.0880000		Yujin Ahn prepares Attack on Ramuh 5819 (CRITICAL)
00:00:02.1320000		Ifrit-Egi Burning Strike Ramuh 6920
00:00:02.1320000		Run Escape prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
