-00:00:01.9660000		Dengue Fever casts Glare on Ramuh
-00:00:01.6560000		Yoo Rose casts Ruin III on Ramuh
-00:00:01.2100000		Aihyooni Yoomi casts Broil III on Ramuh
-00:00:00.9410000		Run Escape casts Ruin III on Ramuh
-00:00:00.7170000		Minju Rose casts Holy Spirit on Ramuh
00:00:00		Dengue Fever prepares Glare on Ramuh 31493 (CRITICAL)
00:00:00.2670000		Yoo Rose prepares Ruin III on Ramuh 12695
00:00:00.2670000		Minju Rose prepares Holy Spirit on Ramuh 16238 (CRITICAL)
00:00:00.3570000		Dan Tam prepares Suiton on Ramuh 36365 (CRITICAL)
00:00:00.3570000		Dan Tam gains Suiton from Dan Tam
00:00:00.7150000		Aihyooni Yoomi prepares Broil III on Ramuh 19586
00:00:00.8940000		Blue Fever prepares Stormbite on Ramuh 5391
00:00:00.8940000		Blue Fever prepares Shot on Ramuh 5563 (DIRECT HIT)
00:00:00.8940000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:01.0310000		The limit break guage has been updated to 0. 3 bars are available.
00:00:01.0310000		Minju Rose Holy Spirit Ramuh 16238
00:00:01.0310000		Ifrit-Egi prepares Burning Strike on Ramuh 8989 (CRITICAL)
00:00:01.0310000		Dan Tam prepares Kassatsu on Dan Tam 
00:00:01.0310000		Run Escape prepares Ruin III on Ramuh 13965
00:00:01.0310000		Dan Tam gains Kassatsu from Dan Tam
00:00:01.0740000		Yoo Rose Ruin III Ramuh 12695
00:00:01.2510000		Yoo Rose prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:01.2960000		Dengue Fever Glare Ramuh 31493
00:00:01.3410000		Dan Tam Suiton Ramuh 36365
00:00:01.3410000		Dengue Fever prepares Dia on Ramuh 7933
00:00:01.3850000		Ruby Carbuncle prepares Burning Strike on Ramuh 4332
00:00:01.3850000		Aihyooni Yoomi prepares Biolysis on Ramuh 
00:00:01.5190000		Aihyooni Yoomi Broil III Ramuh 19586
00:00:01.6530000		Blue Fever Shot Ramuh 5563
00:00:01.6530000		Blue Fever prepares Bloodletter on Ramuh 12987 (CRITICAL)
00:00:01.8310000		Ifrit-Egi Burning Strike Ramuh 8989
00:00:01.8310000		Run Escape Ruin III Ramuh 13965
00:00:01.8770000		Ruby Carbuncle gains Summon Order from Ramuh
00:00:01.9210000		Yoo Rose prepares Tri-Disaster on Ramuh 26174 (DIRECT HIT)
00:00:01.9210000		Ramuh gains Bio III from Yoo Rose
00:00:01.9210000		Ramuh gains Miasma III from Yoo Rose
00:00:01.9660000		Ruby Carbuncle prepares Crimson Cyclone on Ramuh 13004
00:00:02.0110000		Ramuh gains Biolysis from Aihyooni Yoomi
00:00:02.1000000		Dan Tam prepares Spinning Edge on Ramuh 8533
00:00:02.1450000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:02.1450000		Aihyooni Yoomi prepares Aetherflow on Aihyooni Yoomi 1000
00:00:02.1900000		Ruby Carbuncle Burning Strike Ramuh 4332
00:00:02.1900000		Blue Fever Stormbite Ramuh 5391
00:00:02.1900000		Ramuh gains Stormbite from Blue Fever
00:00:02.2350000		Dengue Fever prepares Assize on Dengue Fever +18080
00:00:02.2350000		Dengue Fever prepares Assize on Ramuh 27294
00:00:02.2350000		Dengue Fever prepares Assize on Yujin Ahn +18663
00:00:02.2350000		Dengue Fever prepares Assize on Minju Rose +28973 (CRITICAL)
00:00:02.2350000		Dengue Fever prepares Assize on Aihyooni Yoomi +29135 (CRITICAL)
00:00:02.2350000		Dengue Fever prepares Assize on Dan Tam +18729
00:00:02.2350000		Dengue Fever prepares Assize on Run Escape +17908
00:00:02.2350000		Dengue Fever prepares Assize on Blue Fever +18844
00:00:02.2350000		Dengue Fever prepares Assize on Yoo Rose +17805
00:00:02.2350000		Run Escape prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:00:02.3240000		Blue Fever prepares The Wanderer's Minuet on Ramuh 7223 (CRITICAL)
00:00:02.3240000		Minju Rose prepares Attack on Ramuh 2871 (DIRECT HIT)
00:00:02.3240000		Yujin Ahn prepares Heavy Swing on Ramuh 5504
00:00:02.3240000		Yujin Ahn prepares Attack on Ramuh 6256 (CRITICAL)
00:00:02.3240000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:02.3240000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:00:02.3240000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:02.3240000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:00:02.3240000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:02.3240000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:02.3240000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:02.3240000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:02.3240000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:02.3240000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:02.4140000		Dan Tam prepares Attack on Ramuh 4898 (DIRECT HIT)
00:00:02.5030000		Dan Tam Spinning Edge Ramuh 8533
00:00:02.5480000		Ramuh prepares Unknown_4Bc9 on Minju Rose +5251 (CRITICAL)
00:00:02.5930000		Ruby Carbuncle Crimson Cyclone Ramuh 13004
00:00:02.5930000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:02.6370000		Dengue Fever Dia Ramuh 7933
00:00:02.6370000		Ramuh gains Dia from Dengue Fever
00:00:02.6370000		Yoo Rose prepares Dreadwyrm Trance on Yoo Rose 
00:00:02.6820000		Minju Rose prepares Fast Blade on Ramuh 5682
00:00:02.7270000		Yoo Rose Tri-Disaster Ramuh 26174
00:00:02.8610000		Minju Rose Attack Ramuh 2871
00:00:02.8610000		Yujin Ahn Heavy Swing Ramuh 5504
00:00:02.8610000		Yujin Ahn Attack Ramuh 6256
