737550.23:57:32.4950000		The limit break guage has been updated to 0. 1 bars are available
737550.23:57:32.6700000		The limit break guage has been updated to 0. 2 bars are available
-00:00:01.0640000		Cagnazzo Tarakona prepares Blizzard III on Ramuh
-00:00:00.6650000		Dengue Fever prepares Glare on Ramuh
-00:00:00.5320000		Angk H'zhet prepares Broil III on Ramuh
00:00:00.6680000		The limit break guage has been updated to 0. 3 bars are available
00:00:02.2230000		The limit break guage has been updated to 220. 3 bars are available
00:00:02.3120000		White Crystal casts Salted Earth on White Crystal
00:00:03.5130000		Dengue Fever casts Assize on Dengue Fever
00:00:03.5130000		Dengue Fever casts Assize on Ramuh
00:00:03.5130000		Dengue Fever casts Assize on Moryn Ward
00:00:03.5130000		Dengue Fever casts Assize on White Crystal
00:00:03.5130000		Dengue Fever casts Assize on Angk H'zhet
00:00:03.5130000		Dengue Fever casts Assize on Super Negative
00:00:03.5130000		Dengue Fever casts Assize on Stone Wolf
00:00:03.5130000		Dengue Fever casts Assize on Cagnazzo Tarakona
00:00:03.5130000		Dengue Fever casts Assize on Blue Fever
00:00:05.2030000		The limit break guage has been updated to 440. 3 bars are available
00:00:05.6470000		Blue Fever casts Battle Voice on Cagnazzo Tarakona
00:00:05.6470000		Blue Fever casts Battle Voice on Moryn Ward
00:00:05.6470000		Blue Fever casts Battle Voice on Angk H'zhet
00:00:05.6470000		Blue Fever casts Battle Voice on White Crystal
00:00:05.6470000		Blue Fever casts Battle Voice on Super Negative
00:00:05.6470000		Blue Fever casts Battle Voice on Stone Wolf
00:00:05.6470000		Blue Fever casts Battle Voice on Dengue Fever
00:00:08.2230000		The limit break guage has been updated to 660. 3 bars are available
00:00:08.8440000		Cagnazzo Tarakona casts Ley Lines on Cagnazzo Tarakona
00:00:09.1550000		Moryn Ward casts Dream Within A Dream on Ramuh
00:00:09.1550000		Moryn Ward casts Dream Within A Dream on Ramuh
00:00:09.1550000		Moryn Ward casts Dream Within A Dream on Ramuh
00:00:09.1990000		White Crystal casts Dark Missionary on White Crystal
00:00:09.1990000		White Crystal casts Dark Missionary on Angk H'zhet
00:00:09.1990000		White Crystal casts Dark Missionary on Super Negative
00:00:09.1990000		White Crystal casts Dark Missionary on Cagnazzo Tarakona
00:00:09.1990000		White Crystal casts Dark Missionary on Moryn Ward
00:00:09.1990000		White Crystal casts Dark Missionary on Dengue Fever
00:00:09.1990000		White Crystal casts Dark Missionary on Blue Fever
00:00:09.1990000		White Crystal casts Dark Missionary on Stone Wolf
00:00:11.1980000		The limit break guage has been updated to 880. 3 bars are available
00:00:11.4200000		Blue Fever casts Refulgent Arrow on Ramuh
00:00:11.4200000		Blue Fever casts Refulgent Arrow on Ramuh
00:00:11.4200000		Blue Fever casts Refulgent Arrow on Ramuh
00:00:12.3090000		Ramuh casts Judgment Volts on White Crystal
00:00:12.3090000		Ramuh casts Judgment Volts on Angk H'zhet
00:00:12.3090000		Ramuh casts Judgment Volts on Super Negative
00:00:12.3090000		Ramuh casts Judgment Volts on Cagnazzo Tarakona
00:00:12.3090000		Ramuh casts Judgment Volts on Moryn Ward
00:00:12.3090000		Ramuh casts Judgment Volts on Stone Wolf
00:00:12.3090000		Ramuh casts Judgment Volts on Dengue Fever
00:00:12.3090000		Ramuh casts Judgment Volts on Blue Fever
00:00:14.2200000		The limit break guage has been updated to 1100. 3 bars are available
00:00:14.3090000		Seraph casts Consolation on White Crystal
00:00:14.3090000		Seraph casts Consolation on Angk H'zhet
00:00:14.3090000		Seraph casts Consolation on Super Negative
00:00:14.3090000		Seraph casts Consolation on Cagnazzo Tarakona
00:00:14.3090000		Seraph casts Consolation on Dengue Fever
00:00:14.3090000		Seraph casts Consolation on Stone Wolf
00:00:14.3090000		Seraph casts Consolation on Moryn Ward
00:00:14.3090000		Seraph casts Consolation on Blue Fever
00:00:17.2360000		The limit break guage has been updated to 1320. 3 bars are available
00:00:20.2150000		The limit break guage has been updated to 1540. 3 bars are available
00:00:23.1930000		The limit break guage has been updated to 1760. 3 bars are available
00:00:25.0130000		Dengue Fever casts Medica II on Dengue Fever
00:00:25.0130000		Dengue Fever casts Medica II on Super Negative
00:00:25.0130000		Dengue Fever casts Medica II on White Crystal
00:00:25.0130000		Dengue Fever casts Medica II on Angk H'zhet
00:00:25.0130000		Dengue Fever casts Medica II on Stone Wolf
00:00:25.0130000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:00:25.0130000		Dengue Fever casts Medica II on Moryn Ward
00:00:25.0130000		Dengue Fever casts Medica II on Blue Fever
00:00:26.2150000		The limit break guage has been updated to 1980. 3 bars are available
00:00:29.1990000		The limit break guage has been updated to 2200. 3 bars are available
00:00:32.2250000		The limit break guage has been updated to 2420. 3 bars are available
00:00:33.5160000		Moryn Ward casts Shukuchi on Moryn Ward
00:00:35.2060000		The limit break guage has been updated to 2640. 3 bars are available
00:00:36.1400000		Dengue Fever casts Medica II on Dengue Fever
00:00:36.1400000		Dengue Fever casts Medica II on Moryn Ward
00:00:36.1400000		Dengue Fever casts Medica II on White Crystal
00:00:36.1400000		Dengue Fever casts Medica II on Blue Fever
00:00:36.1400000		Dengue Fever casts Medica II on Angk H'zhet
00:00:36.1400000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:00:36.1400000		Dengue Fever casts Medica II on Stone Wolf
00:00:36.1400000		Dengue Fever casts Medica II on Super Negative
00:00:37.0310000		Moryn Ward casts Shukuchi on Moryn Ward
00:00:38.0550000		Cagnazzo Tarakona casts Between The Lines on Cagnazzo Tarakona
00:00:38.2330000		The limit break guage has been updated to 2860. 3 bars are available
00:00:41.2180000		The limit break guage has been updated to 3080. 3 bars are available
00:00:44.2050000		The limit break guage has been updated to 3300. 3 bars are available
00:00:47.1930000		Angk H'zhet casts Sacred Soil on Angk H'zhet
00:00:47.1930000		The limit break guage has been updated to 3520. 3 bars are available
00:00:48.4880000		Dengue Fever casts Assize on Dengue Fever
00:00:48.4880000		Dengue Fever casts Assize on Ramuh
00:00:48.4880000		Dengue Fever casts Assize on Angk H'zhet
00:00:48.4880000		Dengue Fever casts Assize on Stone Wolf
00:00:48.4880000		Dengue Fever casts Assize on White Crystal
00:00:48.4880000		Dengue Fever casts Assize on Super Negative
00:00:48.4880000		Dengue Fever casts Assize on Moryn Ward
00:00:48.4880000		Dengue Fever casts Assize on Cagnazzo Tarakona
00:00:50.2280000		The limit break guage has been updated to 3740. 3 bars are available
00:00:53.2190000		The limit break guage has been updated to 3960. 3 bars are available
00:00:55.0030000		Selene casts Whispering Dawn on Super Negative
00:00:55.0030000		Selene casts Whispering Dawn on Stone Wolf
00:00:55.0030000		Selene casts Whispering Dawn on White Crystal
00:00:55.0030000		Selene casts Whispering Dawn on Moryn Ward
00:00:55.0030000		Selene casts Whispering Dawn on Angk H'zhet
00:00:55.0030000		Selene casts Whispering Dawn on Cagnazzo Tarakona
00:00:55.0030000		Selene casts Whispering Dawn on Blue Fever
00:00:56.2060000		The limit break guage has been updated to 4180. 3 bars are available
00:00:58.3040000		Selene casts Fey Illumination on Stone Wolf
00:00:58.3040000		Selene casts Fey Illumination on Super Negative
