-21:45:49.2580000		The limit break guage has been updated to 0. 2 bars are available
00:00:00.8940000		The limit break guage has been updated to 0. 3 bars are available
00:00:01.4720000		The limit break guage has been updated to 220. 3 bars are available
00:00:02.3180000		Dengue Fever casts Assize on Dengue Fever
00:00:02.3180000		Dengue Fever casts Assize on Ramuh
00:00:02.3180000		Dengue Fever casts Assize on Moryn Ward
00:00:02.3180000		Dengue Fever casts Assize on Angk H'zhet
00:00:02.3180000		Dengue Fever casts Assize on White Crystal
00:00:02.3180000		Dengue Fever casts Assize on Stone Wolf
00:00:02.3180000		Dengue Fever casts Assize on Cagnazzo Tarakona
00:00:02.3180000		Dengue Fever casts Assize on Blue Fever
00:00:02.3180000		Dengue Fever casts Assize on Super Negative
00:00:04.4600000		The limit break guage has been updated to 440. 3 bars are available
00:00:05.0850000		Blue Fever casts Battle Voice on Cagnazzo Tarakona
00:00:05.0850000		Blue Fever casts Battle Voice on Moryn Ward
00:00:05.0850000		Blue Fever casts Battle Voice on Angk H'zhet
00:00:05.0850000		Blue Fever casts Battle Voice on White Crystal
00:00:05.0850000		Blue Fever casts Battle Voice on Super Negative
00:00:05.0850000		Blue Fever casts Battle Voice on Dengue Fever
00:00:05.0850000		Blue Fever casts Battle Voice on Stone Wolf
00:00:07.4910000		The limit break guage has been updated to 660. 3 bars are available
00:00:07.5800000		White Crystal casts Salted Earth on White Crystal
00:00:07.6250000		Cagnazzo Tarakona casts Ley Lines on Cagnazzo Tarakona
00:00:08.3390000		White Crystal casts Dark Missionary on White Crystal
00:00:08.3390000		White Crystal casts Dark Missionary on Cagnazzo Tarakona
00:00:08.3390000		White Crystal casts Dark Missionary on Moryn Ward
00:00:08.3390000		White Crystal casts Dark Missionary on Super Negative
00:00:08.3390000		White Crystal casts Dark Missionary on Angk H'zhet
00:00:08.3390000		White Crystal casts Dark Missionary on Blue Fever
00:00:08.3390000		White Crystal casts Dark Missionary on Dengue Fever
00:00:08.3390000		White Crystal casts Dark Missionary on Stone Wolf
00:00:08.8290000		Moryn Ward casts Dream Within A Dream on Ramuh
00:00:08.8290000		Moryn Ward casts Dream Within A Dream on Ramuh
00:00:08.8290000		Moryn Ward casts Dream Within A Dream on Ramuh
00:00:10.4760000		The limit break guage has been updated to 880. 3 bars are available
00:00:12.5240000		Ramuh casts Judgment Volts on Angk H'zhet
00:00:12.5240000		Ramuh casts Judgment Volts on Cagnazzo Tarakona
00:00:12.5240000		Ramuh casts Judgment Volts on White Crystal
00:00:12.5240000		Ramuh casts Judgment Volts on Super Negative
00:00:12.5240000		Ramuh casts Judgment Volts on Dengue Fever
00:00:12.5240000		Ramuh casts Judgment Volts on Moryn Ward
00:00:12.5240000		Ramuh casts Judgment Volts on Stone Wolf
00:00:12.5240000		Ramuh casts Judgment Volts on Blue Fever
00:00:13.4590000		The limit break guage has been updated to 1100. 3 bars are available
00:00:14.4400000		Blue Fever casts Refulgent Arrow on Ramuh
00:00:14.4400000		Blue Fever casts Refulgent Arrow on Ramuh
00:00:14.4400000		Blue Fever casts Refulgent Arrow on Ramuh
00:00:15.6450000		Seraph casts Consolation on Angk H'zhet
00:00:15.6450000		Seraph casts Consolation on Cagnazzo Tarakona
00:00:15.6450000		Seraph casts Consolation on White Crystal
00:00:15.6450000		Seraph casts Consolation on Dengue Fever
00:00:15.6450000		Seraph casts Consolation on Super Negative
00:00:15.6450000		Seraph casts Consolation on Stone Wolf
00:00:15.6450000		Seraph casts Consolation on Moryn Ward
00:00:15.6450000		Seraph casts Consolation on Blue Fever
00:00:16.4940000		The limit break guage has been updated to 1320. 3 bars are available
00:00:19.4860000		The limit break guage has been updated to 1540. 3 bars are available
00:00:21.1820000		Dengue Fever casts Medica II on Dengue Fever
00:00:21.1820000		Dengue Fever casts Medica II on Angk H'zhet
00:00:21.1820000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:00:21.1820000		Dengue Fever casts Medica II on White Crystal
00:00:21.1820000		Dengue Fever casts Medica II on Stone Wolf
00:00:21.1820000		Dengue Fever casts Medica II on Moryn Ward
00:00:21.1820000		Dengue Fever casts Medica II on Super Negative
00:00:21.1820000		Dengue Fever casts Medica II on Blue Fever
00:00:22.4750000		The limit break guage has been updated to 1760. 3 bars are available
00:00:25.4650000		The limit break guage has been updated to 1980. 3 bars are available
00:00:28.5000000		The limit break guage has been updated to 2200. 3 bars are available
00:00:31.4880000		The limit break guage has been updated to 2420. 3 bars are available
00:00:33.6690000		Moryn Ward casts Shukuchi on Moryn Ward
00:00:34.4710000		The limit break guage has been updated to 2640. 3 bars are available
00:00:37.0080000		Moryn Ward casts Shukuchi on Moryn Ward
00:00:37.2770000		Cagnazzo Tarakona casts Between The Lines on Cagnazzo Tarakona
00:00:37.4990000		The limit break guage has been updated to 2860. 3 bars are available
00:00:40.4820000		The limit break guage has been updated to 3080. 3 bars are available
00:00:43.4660000		The limit break guage has been updated to 3300. 3 bars are available
00:00:46.4940000		The limit break guage has been updated to 3520. 3 bars are available
00:00:47.9630000		Angk H'zhet casts Sacred Soil on Angk H'zhet
00:00:49.1660000		Dengue Fever casts Assize on Dengue Fever
00:00:49.1660000		Dengue Fever casts Assize on Angk H'zhet
00:00:49.1660000		Dengue Fever casts Assize on Super Negative
00:00:49.1660000		Dengue Fever casts Assize on Ramuh
00:00:49.1660000		Dengue Fever casts Assize on Cagnazzo Tarakona
00:00:49.1660000		Dengue Fever casts Assize on White Crystal
00:00:49.1660000		Dengue Fever casts Assize on Moryn Ward
00:00:49.1660000		Dengue Fever casts Assize on Stone Wolf
00:00:49.4790000		The limit break guage has been updated to 3740. 3 bars are available
00:00:52.4670000		The limit break guage has been updated to 3960. 3 bars are available
00:00:54.2010000		Selene casts Whispering Dawn on Angk H'zhet
00:00:54.2010000		Selene casts Whispering Dawn on Stone Wolf
00:00:54.2010000		Selene casts Whispering Dawn on White Crystal
00:00:54.2010000		Selene casts Whispering Dawn on Moryn Ward
00:00:54.2010000		Selene casts Whispering Dawn on Super Negative
00:00:54.2010000		Selene casts Whispering Dawn on Blue Fever
00:00:55.4940000		The limit break guage has been updated to 4180. 3 bars are available
00:00:58.4750000		The limit break guage has been updated to 4400. 3 bars are available
00:00:58.5190000		Selene casts Fey Illumination on Angk H'zhet
00:00:58.5190000		Selene casts Fey Illumination on Stone Wolf
00:00:58.5190000		Selene casts Fey Illumination on White Crystal
00:00:58.5190000		Selene casts Fey Illumination on Super Negative
00:00:58.5190000		Selene casts Fey Illumination on Moryn Ward
00:00:58.5190000		Selene casts Fey Illumination on Cagnazzo Tarakona
00:00:58.5190000		Selene casts Fey Illumination on Blue Fever
00:00:58.5190000		Selene casts Fey Illumination on Dengue Fever
00:01:01.4600000		The limit break guage has been updated to 4620. 3 bars are available
00:01:03.9050000		Ramuh casts Judgment Volts on Angk H'zhet
00:01:03.9050000		Ramuh casts Judgment Volts on Stone Wolf
00:01:03.9050000		Ramuh casts Judgment Volts on Super Negative
00:01:03.9050000		Ramuh casts Judgment Volts on White Crystal
00:01:03.9050000		Ramuh casts Judgment Volts on Moryn Ward
00:01:03.9050000		Ramuh casts Judgment Volts on Cagnazzo Tarakona
00:01:03.9050000		Ramuh casts Judgment Volts on Dengue Fever
00:01:03.9050000		Ramuh casts Judgment Volts on Blue Fever
00:01:04.4850000		The limit break guage has been updated to 4840. 3 bars are available
00:01:06.4420000		Selene casts Fey Blessing on Angk H'zhet
00:01:06.4420000		Selene casts Fey Blessing on Stone Wolf
00:01:06.4420000		Selene casts Fey Blessing on Super Negative
00:01:06.4420000		Selene casts Fey Blessing on Moryn Ward
00:01:06.4420000		Selene casts Fey Blessing on White Crystal
00:01:06.4420000		Selene casts Fey Blessing on Cagnazzo Tarakona
00:01:06.4420000		Selene casts Fey Blessing on Dengue Fever
00:01:06.4420000		Selene casts Fey Blessing on Blue Fever
00:01:07.4680000		The limit break guage has been updated to 5060. 3 bars are available
00:01:08		Dengue Fever casts Afflatus Rapture on Dengue Fever
00:01:08		Dengue Fever casts Afflatus Rapture on White Crystal
00:01:08		Dengue Fever casts Afflatus Rapture on Super Negative
00:01:08		Dengue Fever casts Afflatus Rapture on Stone Wolf
00:01:08		Dengue Fever casts Afflatus Rapture on Moryn Ward
00:01:08		Dengue Fever casts Afflatus Rapture on Angk H'zhet
00:01:08		Dengue Fever casts Afflatus Rapture on Cagnazzo Tarakona
00:01:08		Dengue Fever casts Afflatus Rapture on Blue Fever
00:01:10.4060000		Moryn Ward casts Dream Within A Dream on Ramuh
00:01:10.4060000		Moryn Ward casts Dream Within A Dream on Ramuh
00:01:10.4060000		Moryn Ward casts Dream Within A Dream on Ramuh
00:01:10.4950000		The limit break guage has been updated to 5280. 3 bars are available
00:01:12.4110000		Dengue Fever casts Medica II on Dengue Fever
00:01:12.4110000		Dengue Fever casts Medica II on Super Negative
00:01:12.4110000		Dengue Fever casts Medica II on White Crystal
00:01:12.4110000		Dengue Fever casts Medica II on Stone Wolf
00:01:12.4110000		Dengue Fever casts Medica II on Moryn Ward
00:01:12.4110000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:01:12.4110000		Dengue Fever casts Medica II on Angk H'zhet
00:01:12.4110000		Dengue Fever casts Medica II on Blue Fever
00:01:13.4840000		The limit break guage has been updated to 5500. 3 bars are available
00:01:16.4730000		The limit break guage has been updated to 5720. 3 bars are available
00:01:19.4700000		The limit break guage has been updated to 5940. 3 bars are available
00:01:22.4610000		The limit break guage has been updated to 6160. 3 bars are available
00:01:25.4940000		The limit break guage has been updated to 6380. 3 bars are available
00:01:27.6340000		Dengue Fever casts Asylum on Dengue Fever
00:01:28.4790000		The limit break guage has been updated to 6600. 3 bars are available
00:01:31.4670000		The limit break guage has been updated to 6820. 3 bars are available
00:01:32.1800000		Dengue Fever casts Afflatus Rapture on Dengue Fever
